field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19
35904,0.000,0.000,-0.600,0.000,143.150,225.400,118.800,0.000,36.250,0.000,47.400,69.560,157.800,0.626,0.014,1,1,1
36004,0.000,0.000,-0.600,0.000,143.150,225.400,118.800,0.000,36.250,0.000,47.400,69.560,157.800,0.632,-0.022,1,1,1
36104,0.000,0.000,-0.600,0.000,143.150,228.580,119.000,0.000,15.880,1.000,47.400,67.700,157.600,0.636,0.224,1,1,1
36304,0.000,0.000,-0.600,0.000,143.150,228.580,119.000,0.000,15.880,1.000,47.400,67.700,157.900,0.626,-0.055,1,1,1
36404,0.000,0.000,-0.600,0.000,143.130,220.800,118.930,-0.080,-25.920,-0.250,47.400,72.180,157.900,0.624,-0.161,1,1,1
36504,0.000,0.000,-0.600,0.000,143.130,220.800,118.930,-0.080,-25.920,-0.250,47.400,72.180,157.900,0.631,0.014,1,1,1
36604,0.000,0.000,-0.600,0.000,143.150,215.750,118.930,0.130,-25.250,0.000,47.400,74.980,158.000,0.633,-0.056,1,1,1
36804,0.000,0.000,-0.600,0.000,143.150,215.750,118.930,0.130,-25.250,0.000,47.400,74.980,158.000,0.634,-0.012,1,1,1
36904,0.000,0.000,-0.600,0.000,143.150,208.230,118.930,0.000,-25.080,0.000,47.400,79.040,158.100,0.634,-0.012,1,1,1
37004,0.000,0.000,-0.600,0.000,143.150,208.230,118.930,0.000,-25.080,0.000,47.400,79.040,158.100,0.637,-0.030,1,1,1
37104,0.000,0.000,-0.600,0.000,143.150,203.280,118.900,0.000,-24.750,-0.130,47.400,81.640,158.100,0.637,-0.039,1,1,1
37304,0.000,0.000,-0.600,0.000,143.150,203.280,118.900,0.000,-24.750,-0.130,47.400,81.640,158.000,0.628,-0.082,1,1,1
37404,0.000,0.000,-0.600,0.000,143.150,195.900,118.800,0.000,-24.580,-0.330,47.400,85.440,158.000,0.630,-0.057,1,1,1
37504,0.000,0.000,-0.600,0.000,143.150,195.900,118.800,0.000,-24.580,-0.330,47.400,85.440,157.900,0.631,0.163,1,1,1
37604,0.000,0.000,-0.600,0.000,143.150,191.050,118.780,0.000,-24.250,-0.130,47.400,87.880,157.900,0.633,-0.127,1,1,1
37804,0.000,0.000,-0.600,0.000,143.150,191.050,118.780,0.000,-24.250,-0.130,47.400,87.880,157.900,0.636,0.014,1,1,1
37904,0.000,0.000,-0.600,0.000,143.150,183.680,118.780,0.000,-24.580,0.000,47.400,91.550,157.800,0.637,0.005,1,1,1
38004,0.000,0.000,-0.600,0.000,143.150,183.680,118.780,0.000,-24.580,0.000,47.400,91.550,157.900,0.637,0.075,1,1,1
38104,0.000,0.000,-0.600,0.000,143.150,178.780,118.800,0.000,-24.500,0.130,47.400,93.950,157.900,0.641,0.093,1,1,1
