field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19
19307,0.000,0.000,0.000,-0.600,195.850,121.050,123.780,7.710,0.120,0.000,81.000,121.810,158.100,359.483,-0.805,1,1,1
19407,0.000,0.000,0.000,-0.600,192.000,121.050,123.780,-12.880,0.000,0.000,78.700,121.810,158.100,359.486,0.046,1,1,1
19507,0.000,0.000,0.000,-0.600,192.000,121.050,123.780,-12.880,0.000,0.000,78.000,121.810,158.100,359.476,0.572,1,1,1
19607,0.000,0.000,0.000,-0.600,189.400,121.050,123.780,-12.940,0.000,0.000,77.200,121.810,158.100,359.474,0.028,1,1,1
19807,0.000,0.000,0.000,-0.600,189.400,121.050,123.780,-12.940,0.000,0.000,75.900,121.810,158.100,359.520,0.019,1,1,1
19907,0.000,0.000,0.000,-0.600,185.450,121.050,123.780,-13.170,0.000,0.000,74.100,121.810,158.100,359.516,0.230,1,1,1
20007,0.000,0.000,0.000,-0.600,185.450,121.050,123.780,-13.170,0.000,0.000,73.200,121.810,158.100,359.511,0.063,1,1,1
20107,0.000,0.000,0.000,-0.600,182.850,121.050,123.780,-13.000,0.000,0.000,72.300,121.810,158.100,359.518,-0.059,1,1,1
20307,0.000,0.000,0.000,-0.600,182.850,121.050,123.780,-13.000,0.000,0.000,71.400,121.810,158.100,359.539,0.098,1,1,1
20407,0.000,0.000,0.000,-0.600,178.930,121.050,123.780,-13.080,0.000,0.000,69.800,121.810,158.100,359.539,0.037,1,1,1
20507,0.000,0.000,0.000,-0.600,178.930,121.050,123.780,-13.080,0.000,0.000,68.800,121.810,158.100,359.539,0.186,1,1,1
20607,0.000,0.000,0.000,-0.600,176.350,121.050,123.780,-12.880,0.000,0.000,67.900,121.810,158.100,359.537,0.011,1,1,1
20807,0.000,0.000,0.000,-0.600,176.350,121.050,123.780,-12.880,0.000,0.000,67.200,121.810,158.000,359.538,-0.086,1,1,1
20907,0.000,0.000,0.000,-0.600,172.450,121.050,123.780,-13.000,0.000,0.000,65.500,121.810,158.000,359.537,-0.069,1,1,1
21007,0.000,0.000,0.000,-0.600,172.450,121.050,123.780,-13.000,0.000,0.000,64.600,121.810,158.000,359.540,-0.182,1,1,1
21107,0.000,0.000,0.000,-0.600,169.850,121.050,123.780,-13.000,0.000,0.000,63.900,121.810,158.000,359.542,-0.069,1,1,1
21307,0.000,0.000,0.000,-0.600,169.850,121.050,123.780,-13.000,0.000,0.000,63.000,121.810,158.000,359.544,-0.042,1,1,1
21407,0.000,0.000,0.000,-0.600,165.930,121.050,123.780,-13.080,0.000,0.000,61.300,121.810,158.000,359.547,-0.060,1,1,1
21507,0.000,0.000,0.000,-0.600,165.930,121.050,123.780,-13.080,0.000,0.000,60.500,121.810,158.000,359.549,-0.025,1,1,1
21607,0.000,0.000,0.000,-0.600,163.330,121.080,123.780,-13.000,0.130,0.000,59.600,121.790,158.000,359.551,0.010,1,1,1
21807,0.000,0.000,0.000,-0.600,163.330,121.080,123.780,-13.000,0.130,0.000,58.700,121.790,158.000,359.546,-0.174,1,1,1
21907,0.000,0.000,0.000,-0.600,159.380,121.080,123.800,-13.170,0.000,0.080,57.200,121.790,158.000,359.547,-0.051,1,1,1
