t,x1,x2,y1,y2,s_boom,s_stick,s_bucket,v_boom,v_stick,v_bucket,a_boom,a_stick,a_bucket,yaw,yaw_rate,rs485_ok,adc_ok,imu_ok
288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0
388,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,56.700,0.000,151.700,0.000,0.000,0,1,0
488,0.000,0.000,0.000,0.000,157.080,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
588,0.000,0.000,0.000,0.000,157.080,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
800,0.000,0.000,0.000,0.000,157.080,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
903,0.000,0.000,0.000,0.000,157.050,140.530,125.900,-0.120,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1003,0.000,0.000,0.000,0.000,157.050,140.530,125.900,-0.120,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1103,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1300,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1400,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1503,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1603,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1800,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
1900,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
2000,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
2103,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.000,0.000,1,1,0
2304,0.000,0.000,0.000,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.006,0.050,1,1,1
2404,0.000,0.500,-0.500,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.010,0.077,1,1,1
2504,0.000,0.500,-0.500,0.000,157.050,140.530,125.900,0.000,0.000,0.000,56.700,112.330,151.700,0.011,-0.107,1,1,1
2604,0.000,0.000,-0.500,0.000,157.050,138.130,123.400,0.000,-11.940,-12.440,56.700,113.480,153.200,0.013,0.155,1,1,1
2804,0.000,0.000,-0.500,0.000,157.050,138.130,123.400,0.000,-11.940,-12.440,56.700,113.480,154.700,0.025,0.085,1,1,1
2904,0.000,0.000,-0.500,0.000,157.050,128.130,121.730,0.000,-33.330,-5.580,56.700,118.320,154.700,0.025,0.041,1,1,1
3004,0.000,0.000,-0.500,0.000,157.050,128.130,121.730,0.000,-33.330,-5.580,56.700,118.320,154.700,0.026,-0.125,1,1,1
3104,0.000,0.000,0.000,0.000,157.050,120.580,121.730,0.000,-37.750,0.000,56.700,122.040,154.700,0.029,-0.108,1,1,1
3304,0.000,0.000,0.000,0.000,157.050,120.580,121.730,0.000,-37.750,0.000,56.700,122.040,154.700,0.027,-0.012,1,1,1
3404,0.000,0.000,0.000,0.000,157.050,118.000,121.730,0.000,-8.580,0.000,56.700,123.330,154.700,0.027,0.401,1,1,1
3504,0.000,0.000,0.000,0.000,157.050,118.000,121.730,0.000,-8.580,0.000,56.700,123.330,154.700,0.025,-0.055,1,1,1
3604,0.000,0.000,0.000,0.000,157.050,118.000,121.730,0.000,0.000,0.000,56.700,123.330,154.700,0.027,-0.047,1,1,1
3804,0.000,0.600,0.000,0.000,157.050,118.000,121.730,0.000,0.000,0.000,56.700,123.330,154.700,0.038,0.076,1,1,1
3904,0.000,0.600,0.000,0.000,157.050,117.980,116.780,0.000,-0.080,-16.500,56.700,123.340,159.500,0.044,-0.073,1,1,1
4004,0.000,0.600,0.000,0.000,157.050,117.980,116.780,0.000,-0.080,-16.500,56.700,123.340,163.400,0.044,0.015,1,1,1
4104,0.000,0.600,0.000,0.000,157.050,117.980,108.050,0.000,0.000,-43.630,56.700,123.340,167.400,0.043,-0.002,1,1,1
4304,0.000,0.600,0.000,0.000,157.050,117.980,108.050,0.000,0.000,-43.630,56.700,123.340,171.600,0.049,0.050,1,1,1
4404,0.000,-0.600,0.000,0.000,157.050,117.980,94.850,0.000,0.000,-44.000,56.700,123.340,179.500,0.051,0.111,1,1,1
4504,0.000,-0.600,0.000,0.000,157.050,117.980,94.850,0.000,0.000,-44.000,56.700,123.340,183.600,0.051,-0.196,1,1,1
4604,0.000,-0.600,0.000,0.000,157.050,117.980,90.600,0.000,0.000,-21.250,56.700,123.340,183.800,0.047,-0.117,1,1,1
4804,0.000,-0.600,0.000,0.000,157.050,117.980,90.600,0.000,0.000,-21.250,56.700,123.340,180.600,0.071,0.164,1,1,1
4904,0.000,-0.600,0.000,0.000,157.050,117.980,101.730,0.000,0.000,37.080,56.700,123.340,173.800,0.070,-0.143,1,1,1
5004,0.000,-0.600,0.000,0.000,157.050,117.980,101.730,0.000,0.000,37.080,56.700,123.340,170.600,0.070,-0.196,1,1,1
5104,0.000,-0.600,0.000,0.000,157.050,117.980,109.250,0.000,0.000,37.630,56.700,123.340,166.900,0.069,-0.099,1,1,1
5304,0.000,-0.600,0.000,0.000,157.050,117.980,109.250,0.000,0.000,37.630,56.700,123.340,163.600,0.086,0.111,1,1,1
5404,0.000,-0.600,0.000,0.000,157.050,117.980,120.350,0.000,0.000,37.000,56.700,123.340,156.800,0.088,-0.011,1,1,1
5504,0.000,-0.600,0.000,0.000,157.050,117.980,120.350,0.000,0.000,37.000,56.700,123.340,153.200,0.088,0.006,1,1,1
5604,0.000,-0.600,0.000,0.000,157.050,117.980,127.750,0.000,0.000,37.000,56.700,123.340,149.700,0.088,0.006,1,1,1
5804,0.000,-0.600,0.000,0.000,157.050,117.980,127.750,0.000,0.000,37.000,56.700,123.340,145.900,0.082,-0.073,1,1,1
5904,0.000,-0.600,0.000,0.000,157.050,117.980,138.830,0.000,0.000,36.920,56.700,123.340,138.500,0.085,-0.038,1,1,1
6004,0.000,-0.600,0.000,0.000,157.050,117.980,138.830,0.000,0.000,36.920,56.700,123.340,134.800,0.085,0.085,1,1,1
6104,0.000,-0.600,0.000,0.000,157.050,117.980,146.350,0.000,0.000,37.630,56.700,123.340,130.700,0.089,0.164,1,1,1
6304,0.000,-0.600,0.000,0.000,157.050,117.980,146.350,0.000,0.000,37.630,56.700,123.340,126.800,0.099,0.093,1,1,1
6404,0.000,-0.600,0.000,0.000,157.050,117.980,157.550,0.000,0.000,37.330,56.700,123.340,118.200,0.103,-0.047,1,1,1
6504,0.000,-0.600,0.000,0.000,157.050,117.980,157.550,0.000,0.000,37.330,56.700,123.340,113.100,0.105,-0.074,1,1,1
6604,0.000,0.600,0.000,0.000,157.050,117.980,164.880,0.000,0.000,36.630,56.700,123.340,107.900,0.105,0.111,1,1,1
6804,0.000,0.600,0.000,0.000,157.050,117.980,164.880,0.000,0.000,36.630,56.700,123.340,102.300,0.050,-0.459,1,1,1
6904,0.000,0.600,0.000,0.000,157.050,117.980,164.650,0.000,0.000,-0.750,56.700,123.340,108.600,0.046,0.750,1,1,1
7004,0.000,0.600,0.000,0.000,157.050,117.980,164.650,0.000,0.000,-0.750,56.700,123.340,115.100,0.041,-0.056,1,1,1
7104,0.000,0.600,0.000,0.000,157.050,117.980,155.400,0.000,0.000,-46.250,56.700,123.340,120.900,0.039,0.014,1,1,1
7304,0.000,0.600,0.000,0.000,157.050,117.980,155.400,0.000,0.000,-46.250,56.700,123.340,125.900,0.047,0.023,1,1,1
7404,0.000,0.600,0.000,0.000,157.050,117.980,142.150,0.000,0.000,-44.170,56.700,123.340,135.300,0.045,0.076,1,1,1
7504,0.000,0.600,0.000,0.000,157.050,117.980,142.150,0.000,0.000,-44.170,56.700,123.340,140.000,0.042,-0.038,1,1,1
7604,0.000,0.600,0.000,0.000,157.050,117.980,133.300,0.000,0.000,-44.250,56.700,123.340,144.100,0.042,0.049,1,1,1
7804,0.000,0.600,0.000,0.000,157.050,117.980,133.300,0.000,0.000,-44.250,56.700,123.340,148.400,0.058,0.111,1,1,1
7904,0.000,0.600,0.000,0.000,157.050,117.980,119.730,0.000,0.000,-45.250,56.700,123.340,157.000,0.061,-0.003,1,1,1
8004,0.000,0.600,0.000,0.000,157.050,117.980,119.730,0.000,0.000,-45.250,56.700,123.340,160.800,0.061,0.006,1,1,1
